ID,flags,home,work,visiting,health,agegroup,education,wellbeing,gender,subculture,happiness,family,class,name,taxRate
0,Created,44172,31240,0,ExcellentHealth,Adult,Uneducated,90,Male,Generic,Suberb,212,Low Residential - Level1 (ItemClass),,9
0,Created- NeedGoods,14938,31240,0,ExcellentHealth,Adult,Uneducated,49,Male,Generic,Excellent,166,Low Residential - Level1 (ItemClass),,9
27462,Created- Location,15504,31240,0,ExcellentHealth,Adult,Uneducated,53,Female,Generic,Excellent,31,Low Residential - Level1 (ItemClass),Elisabeth Wright,9
0,12582913,18926,0,0,ExcellentHealth,Adult,Uneducated,94,Male,Generic,Suberb,177,Low Residential - Level1 (ItemClass),,9
0,Created- Original,9205,0,0,VeryHealthy,Child,Uneducated,55,Male,Generic,Excellent,205,Low Residential - Level1 (ItemClass),,9
0,Created- NeedGoods- Original,42659,0,0,VeryHealthy,Child,Uneducated,70,Male,Generic,Suberb,76,Low Residential - Level1 (ItemClass),,9
0,Created,38492,45669,0,VeryHealthy,Adult,Uneducated,66,Male,Generic,Suberb,197,Low Residential - Level1 (ItemClass),,9
0,672137221,12618,0,28554,Sick,Young,Uneducated,15,Male,Generic,Poor,233,Low Residential - Level1 (ItemClass),,9
0,-2112880635,34317,0,32197,VerySick,Adult,Uneducated,0,Male,Generic,Bad,203,Low Residential - Level1 (ItemClass),,9
0,1048577,23647,28554,37196,ExcellentHealth,Adult,Uneducated,77,Male,Generic,Suberb,240,Low Residential - Level1 (ItemClass),,9
0,Created- NeedGoods- Original,12329,0,0,ExcellentHealth,Teen,Uneducated,44,Male,Generic,Excellent,22,Low Residential - Level1 (ItemClass),,9
0,Created- Original,5824,0,0,ExcellentHealth,Teen,Uneducated,59,Male,Generic,Suberb,19,Low Residential - Level1 (ItemClass),,9
0,66060293,11158,0,32197,VerySick,Adult,Uneducated,0,Male,Generic,Bad,111,Low Residential - Level1 (ItemClass),,9
0,Created- Original,20027,0,0,ExcellentHealth,Teen,Uneducated,50,Male,Generic,Excellent,212,Low Residential - Level1 (ItemClass),,9
0,Created- Original,24553,0,0,VeryHealthy,Child,Uneducated,76,Male,Generic,Suberb,82,Low Residential - Level1 (ItemClass),,9
0,Created- Original,14017,0,0,VeryHealthy,Child,Uneducated,65,Male,Generic,Excellent,136,Low Residential - Level1 (ItemClass),,9
0,Created,37958,32775,0,ExcellentHealth,Adult,Uneducated,97,Male,Generic,Suberb,215,Low Residential - Level1 (ItemClass),,9
0,Created- Original,5633,0,0,ExcellentHealth,Teen,Uneducated,74,Male,Generic,Suberb,48,Low Residential - Level1 (ItemClass),,9
0,Created,45128,45669,0,ExcellentHealth,Adult,Uneducated,38,Male,Generic,Excellent,147,Low Residential - Level1 (ItemClass),,9
56862,Created- Location,24553,16855,0,ExcellentHealth,Adult,Uneducated,100,Female,Generic,Suberb,154,Low Residential - Level1 (ItemClass),Annabel Miller,9
49769,Created,43709,27789,0,ExcellentHealth,Adult,Uneducated,90,Female,Generic,Suberb,56,Low Residential - Level1 (ItemClass),Annabel Morgan,9
63268,Created- Location,2146,23415,0,ExcellentHealth,Young,Uneducated,88,Female,Generic,Suberb,84,Low Residential - Level1 (ItemClass),Kathleen Blackwell,9
0,17825797,38492,0,32197,VerySick,Young,Uneducated,24,Male,Generic,Bad,139,Low Residential - Level1 (ItemClass),,9
0,Created,24553,6232,0,ExcellentHealth,Adult,Uneducated,100,Male,Generic,Suberb,226,Low Residential - Level1 (ItemClass),,9
0,Created- Original,39471,0,0,ExcellentHealth,Teen,Uneducated,62,Male,Generic,Suberb,226,Low Residential - Level1 (ItemClass),,9
0,Created- Original,44172,0,0,VeryHealthy,Child,Uneducated,60,Male,Generic,Excellent,158,Low Residential - Level1 (ItemClass),,9
0,Created,11659,45669,0,ExcellentHealth,Adult,Uneducated,100,Male,Generic,Suberb,150,Low Residential - Level1 (ItemClass),,9
0,4194305,19975,0,0,VeryHealthy,Adult,Uneducated,55,Male,Generic,Excellent,64,Low Residential - Level1 (ItemClass),,9
0,Created- Original,13044,0,0,VeryHealthy,Child,Uneducated,78,Male,Generic,Suberb,86,Low Residential - Level1 (ItemClass),,9
0,Created- Original,29485,0,0,PoorHealth,Child,Uneducated,50,Male,Generic,Excellent,83,Low Residential - Level1 (ItemClass),,9
0,Created,6076,0,0,ExcellentHealth,Teen,Uneducated,82,Male,Generic,Suberb,32,Low Residential - Level1 (ItemClass),,9
0,Created,13023,45669,0,VeryHealthy,Adult,Uneducated,90,Male,Generic,Suberb,21,Low Residential - Level1 (ItemClass),,9
40163,1705985,42036,28554,0,ExcellentHealth,Adult,OneSchool,100,Male,Generic,Suberb,32,Low Residential - Level1 (ItemClass),Tyler Ward,9
0,Created- Original,14198,0,0,VeryHealthy,Child,Uneducated,82,Male,Generic,Suberb,156,Low Residential - Level1 (ItemClass),,9
2697,Created- Location,19178,47214,0,VeryHealthy,Adult,Uneducated,95,Female,Generic,Suberb,66,Low Residential - Level1 (ItemClass),Rosemary Lewis,9
0,Created- Original,31117,0,0,VeryHealthy,Child,Uneducated,65,Male,Generic,Suberb,165,Low Residential - Level1 (ItemClass),,9
30349,Created- Location,12618,0,0,VeryHealthy,Child,Uneducated,51,Female,Generic,Excellent,148,Low Residential - Level1 (ItemClass),Emma Williams,9
0,Created- Original,40853,0,0,VeryHealthy,Child,Uneducated,49,Male,Generic,Excellent,157,Low Residential - Level1 (ItemClass),,9
