ID,flags,home,work,visiting,health,agegroup,education,wellbeing,gender,subculture,happiness,family,class,name,taxRate
0,Created- Criminal- Unemployed,44172,0,0,VeryHealthy,Adult,Uneducated,78,Male,Generic,Suberb,212,Low Residential - Level1 (ItemClass),,9
0,Created- Criminal- Unemployed,14938,0,0,ExcellentHealth,Adult,Uneducated,41,Male,Generic,Excellent,166,Low Residential - Level1 (ItemClass),,9
27462,9961473,15504,0,0,ExcellentHealth,Adult,Uneducated,51,Female,Generic,Excellent,31,Low Residential - Level1 (ItemClass),Elisabeth Wright,9
0,1048577,45128,32197,19005,ExcellentHealth,Adult,Uneducated,40,Male,Generic,Excellent,46,Low Residential - Level1 (ItemClass),,9
0,1048577,31117,32197,11248,VeryHealthy,Adult,Uneducated,87,Male,Generic,Suberb,165,Low Residential - Level1 (ItemClass),,9
10755,9961473,18926,0,0,ExcellentHealth,Adult,Uneducated,99,Male,Generic,Suberb,177,Low Residential - Level1 (ItemClass),Pierce Williams,9
0,Created- NeedGoods- Original,9205,0,0,VeryHealthy,Child,Uneducated,55,Male,Generic,Excellent,205,Low Residential - Level1 (ItemClass),,9
0,Created- Original,42659,0,0,VeryHealthy,Child,Uneducated,70,Male,Generic,Suberb,76,Low Residential - Level1 (ItemClass),,9
48467,Created- NeedGoods- Location,38492,36303,0,VeryHealthy,Adult,Uneducated,69,Female,Generic,Suberb,197,Low Residential - Level1 (ItemClass),Amanda Blackwell,9
0,672137221,12618,0,28554,Sick,Young,Uneducated,15,Male,Generic,Poor,233,Low Residential - Level1 (ItemClass),,9
0,526337,6076,37236,0,ExcellentHealth,Adult,OneSchool,100,Male,Generic,Suberb,188,Low Residential - Level1 (ItemClass),,9
0,-2112880635,34317,37236,32197,VerySick,Adult,Uneducated,0,Male,Generic,Bad,203,Low Residential - Level1 (ItemClass),,9
0,1048577,23647,28554,37196,ExcellentHealth,Adult,Uneducated,79,Male,Generic,Suberb,240,Low Residential - Level1 (ItemClass),,9
0,524289,39471,36303,0,ExcellentHealth,Adult,Uneducated,84,Male,Generic,Suberb,155,Low Residential - Level1 (ItemClass),,9
0,Created- Original,12329,0,0,ExcellentHealth,Teen,Uneducated,46,Male,Generic,Excellent,22,Low Residential - Level1 (ItemClass),,9
0,Created- Original,5824,0,0,ExcellentHealth,Teen,Uneducated,60,Male,Generic,Suberb,19,Low Residential - Level1 (ItemClass),,9
0,66060293,11158,0,32197,VerySick,Adult,Uneducated,0,Male,Generic,Bad,111,Low Residential - Level1 (ItemClass),,9
0,Created- Original,20027,0,0,ExcellentHealth,Teen,Uneducated,51,Male,Generic,Suberb,212,Low Residential - Level1 (ItemClass),,9
0,Created- Original,24553,0,0,VeryHealthy,Child,Uneducated,76,Male,Generic,Suberb,82,Low Residential - Level1 (ItemClass),,9
0,Created- Original,14017,0,0,PoorHealth,Child,Uneducated,50,Male,Generic,Excellent,136,Low Residential - Level1 (ItemClass),,9
0,Created,37958,32775,0,VeryHealthy,Adult,Uneducated,95,Male,Generic,Suberb,215,Low Residential - Level1 (ItemClass),,9
0,Created- Original,5633,0,0,ExcellentHealth,Teen,Uneducated,76,Male,Generic,Suberb,48,Low Residential - Level1 (ItemClass),,9
177,Created- NeedGoods- Location- Unemployed,45128,0,0,ExcellentHealth,Adult,Uneducated,30,Female,Generic,Excellent,147,Low Residential - Level1 (ItemClass),Julie Davies,9
0,Created,24553,16855,0,ExcellentHealth,Adult,Uneducated,100,Male,Generic,Suberb,154,Low Residential - Level1 (ItemClass),,9
49769,Created- Location,43709,27789,0,VeryHealthy,Adult,Uneducated,88,Female,Generic,Suberb,56,Low Residential - Level1 (ItemClass),Annabel Morgan,9
0,524289,14938,23415,0,PoorHealth,Young,Uneducated,36,Male,Generic,Good,84,Low Residential - Level1 (ItemClass),,9
0,17825797,38492,0,32197,VerySick,Young,Uneducated,24,Male,Generic,Bad,139,Low Residential - Level1 (ItemClass),,9
50432,Created- Location,24553,6232,33806,ExcellentHealth,Adult,Uneducated,100,Female,Generic,Suberb,226,Low Residential - Level1 (ItemClass),Katie Blackwell,9
0,Created- Original,39471,0,0,ExcellentHealth,Teen,Uneducated,63,Male,Generic,Suberb,226,Low Residential - Level1 (ItemClass),,9
0,Created- Original,44172,0,0,VeryHealthy,Child,Uneducated,61,Male,Generic,Excellent,158,Low Residential - Level1 (ItemClass),,9
0,Created,15672,36303,0,ExcellentHealth,Adult,Uneducated,86,Male,Generic,Suberb,249,Low Residential - Level1 (ItemClass),,9
0,Created,19975,36303,0,VeryHealthy,Adult,Uneducated,58,Male,Generic,Excellent,64,Low Residential - Level1 (ItemClass),,9
0,Created- NeedGoods- Original,13044,0,0,PoorHealth,Child,Uneducated,50,Male,Generic,Excellent,86,Low Residential - Level1 (ItemClass),,9
0,Created,6076,0,0,ExcellentHealth,Teen,Uneducated,83,Male,Generic,Suberb,32,Low Residential - Level1 (ItemClass),,9
0,Created- Unemployed,13023,0,0,VeryHealthy,Adult,Uneducated,82,Male,Generic,Suberb,21,Low Residential - Level1 (ItemClass),,9
0,1048577,12329,36303,19005,ExcellentHealth,Adult,Uneducated,49,Male,Generic,Excellent,177,Low Residential - Level1 (ItemClass),,9
40163,1705985,42036,28554,0,ExcellentHealth,Adult,OneSchool,100,Male,Generic,Suberb,32,Low Residential - Level1 (ItemClass),Tyler Ward,9
2697,Created- Location,19178,47214,0,VeryHealthy,Adult,Uneducated,97,Female,Generic,Suberb,66,Low Residential - Level1 (ItemClass),Rosemary Lewis,9
0,Created- Original,31117,0,0,VeryHealthy,Child,Uneducated,66,Male,Generic,Excellent,165,Low Residential - Level1 (ItemClass),,9
30349,Created- Location,12618,0,0,ExcellentHealth,Child,Uneducated,57,Female,Generic,Excellent,148,Low Residential - Level1 (ItemClass),Emma Williams,9
0,Created- NeedGoods- Original,40853,0,0,VeryHealthy,Child,Uneducated,50,Male,Generic,Excellent,157,Low Residential - Level1 (ItemClass),,9
0,Created,6076,26589,0,ExcellentHealth,Adult,Uneducated,100,Male,Generic,Suberb,32,Low Residential - Level1 (ItemClass),,9
0,540673,48205,37236,0,PoorHealth,Adult,Uneducated,25,Male,Generic,Poor,5,Low Residential - Level1 (ItemClass),,9
0,Created,36120,37236,0,ExcellentHealth,Adult,Uneducated,49,Male,Generic,Excellent,46,Low Residential - Level1 (ItemClass),,9
2278,Created- Location,45128,37236,0,ExcellentHealth,Adult,Uneducated,40,Female,Generic,Excellent,103,Low Residential - Level1 (ItemClass),Mary Adams,9
0,1048705,44118,26315,32038,VeryHealthy,Adult,Uneducated,54,Male,Generic,Excellent,2,Low Residential - Level1 (ItemClass),,9
0,Created- Unemployed,6076,0,0,ExcellentHealth,Adult,Uneducated,94,Male,Generic,Suberb,125,Low Residential - Level1 (ItemClass),,9
0,-2081423355,37958,0,28554,VerySick,Adult,Uneducated,0,Male,Generic,Bad,60,Low Residential - Level1 (ItemClass),,9
0,Created- Unemployed,25106,0,0,VeryHealthy,Young,Uneducated,67,Male,Generic,Suberb,134,Low Residential - Level1 (ItemClass),,9
0,2113569,15504,0,0,ExcellentHealth,Adult,Uneducated,55,Male,Generic,Suberb,182,Low Residential - Level1 (ItemClass),,9
0,Created- Original,6076,0,0,VeryHealthy,Child,Uneducated,79,Male,Generic,Suberb,77,Low Residential - Level1 (ItemClass),,9
65416,1705985,48228,48493,0,ExcellentHealth,Adult,OneSchool,100,Female,Generic,Suberb,144,Low Residential - Level1 (ItemClass),Annabel White,9
0,524289,14938,16855,0,ExcellentHealth,Adult,Uneducated,51,Male,Generic,Excellent,164,Low Residential - Level1 (ItemClass),,9
0,Created- Original,41775,0,0,ExcellentHealth,Teen,Uneducated,64,Male,Generic,Suberb,90,Low Residential - Level1 (ItemClass),,9
0,15728641,25106,0,42221,VeryHealthy,Adult,Uneducated,84,Male,Generic,Suberb,213,Low Residential - Level1 (ItemClass),,9
